price_mode,year,signal,signals,n_20d,avg_20d,median_20d,win_20d,n_60d,avg_60d,median_60d,win_60d,pct_signal_day_gt9,pct_next_gap_gt3
raw,2021,core_c1c2c3_regime,0,0,,,,0,,,,,
raw,2022,core_c1c2c3_regime,0,0,,,,0,,,,,
raw,2023,core_c1c2c3_regime,36,35,0.07996860988800199,0.0303262153478218,0.5142857142857142,35,0.18524458154577428,0.1312840180507503,0.6,0.2222222222222222,0.16666666666666666
raw,2024,core_c1c2c3_regime,26,26,0.03545564777286267,-0.033475232297837304,0.34615384615384615,26,0.10818064508621454,-0.0918082718941578,0.3076923076923077,0.3076923076923077,0.2692307692307692
raw,2025,core_c1c2c3_regime,25,25,0.08843968797678844,0.0458269612811221,0.52,25,0.10076980272514088,-0.0701835020630799,0.48,0.24,0.16
raw,2026,core_c1c2c3_regime,74,60,0.08871430272973461,0.094180823476712,0.5666666666666667,26,0.15344826274918946,0.08152236903243895,0.6153846153846154,0.4594594594594595,0.2702702702702703
raw,2021,core_repo40_regime,0,0,,,,0,,,,,
raw,2022,core_repo40_regime,0,0,,,,0,,,,,
raw,2023,core_repo40_regime,29,28,0.09499169287085325,0.04459226148181355,0.5357142857142857,28,0.1690914004420079,0.10315417991732864,0.5714285714285714,0.27586206896551724,0.20689655172413793
raw,2024,core_repo40_regime,10,10,0.0055216164864118735,-0.07623423497900325,0.2,10,-0.050535810477990474,-0.1222533268679219,0.2,0.2,0.1
raw,2025,core_repo40_regime,20,20,0.10384633969291975,0.0672231737772804,0.55,20,0.12343734581959524,-0.03164195686285115,0.5,0.3,0.2
raw,2026,core_repo40_regime,60,48,0.08584737026164913,0.08170451175857224,0.5625,20,0.15553734327153768,0.1021625134030694,0.6,0.45,0.25
raw,2021,core_repo50_regime,0,0,,,,0,,,,,
raw,2022,core_repo50_regime,0,0,,,,0,,,,,
raw,2023,core_repo50_regime,21,20,0.1169458791463536,0.0605362394386068,0.6,20,0.1726186377475988,0.15386603942720772,0.6,0.2857142857142857,0.23809523809523808
raw,2024,core_repo50_regime,7,7,0.016660267011483963,-0.0925461711839033,0.14285714285714285,7,-0.057753238831538094,-0.1255056866275644,0.14285714285714285,0.2857142857142857,0.14285714285714285
raw,2025,core_repo50_regime,16,16,0.09692306041081918,0.0672231737772804,0.5625,16,0.11130794974498555,-0.03164195686285115,0.5,0.3125,0.25
raw,2026,core_repo50_regime,49,38,0.10032046175673012,0.101986635249721,0.6052631578947368,15,0.25220501631450803,0.188294100784651,0.6666666666666666,0.42857142857142855,0.2653061224489796
raw,2021,core_repo60_regime,0,0,,,,0,,,,,
raw,2022,core_repo60_regime,0,0,,,,0,,,,,
raw,2023,core_repo60_regime,17,16,0.1353399621450995,0.0605362394386068,0.625,16,0.1607787145429947,0.1382629610050117,0.5625,0.35294117647058826,0.29411764705882354
raw,2024,core_repo60_regime,5,5,0.07735314150464445,-0.078263568350498,0.2,5,-0.04243318258085649,-0.2945898138895716,0.2,0.4,0.2
raw,2025,core_repo60_regime,12,12,0.10573613396416111,0.0304082345754672,0.5,12,0.05350074069568872,-0.12401491491377435,0.3333333333333333,0.3333333333333333,0.16666666666666666
raw,2026,core_repo60_regime,29,22,0.13549836578325827,0.10366378751326599,0.6818181818181818,10,0.20662318172620756,0.28466984561465464,0.6,0.3793103448275862,0.20689655172413793
raw,2021,magic_c425_c5gt3_regime,0,0,,,,0,,,,,
raw,2022,magic_c425_c5gt3_regime,0,0,,,,0,,,,,
raw,2023,magic_c425_c5gt3_regime,11,11,0.15248324943369193,0.0588583076158053,0.6363636363636364,11,0.2698770729146781,0.1624901748951423,0.8181818181818182,0.09090909090909091,0.0
raw,2024,magic_c425_c5gt3_regime,6,6,-0.11000676620667503,-0.115453628975631,0.16666666666666666,6,-0.10539768227734543,-0.0960533794582421,0.16666666666666666,0.0,0.0
raw,2025,magic_c425_c5gt3_regime,6,6,0.006481014734117177,-0.034548583981297204,0.5,6,-0.03769586805666277,-0.09559127103382205,0.5,0.0,0.0
