regime,regime_value,signal,signals,n_raw_20d,avg_raw_20d,median_raw_20d,win_raw_20d,n_excess_20d,avg_excess_20d,median_excess_20d,win_excess_20d,n_t1_20d,avg_t1_20d,median_t1_20d,win_t1_20d,n_t1_excess_20d,avg_t1_excess_20d,median_t1_excess_20d,win_t1_excess_20d,n_t1_open_20d,avg_t1_open_20d,median_t1_open_20d,win_t1_open_20d,n_t1_open_excess_20d,avg_t1_open_excess_20d,median_t1_open_excess_20d,win_t1_open_excess_20d,n_raw_60d,avg_raw_60d,median_raw_60d,win_raw_60d,n_excess_60d,avg_excess_60d,median_excess_60d,win_excess_60d,n_t1_60d,avg_t1_60d,median_t1_60d,win_t1_60d,n_t1_excess_60d,avg_t1_excess_60d,median_t1_excess_60d,win_t1_excess_60d,n_t1_open_60d,avg_t1_open_60d,median_t1_open_60d,win_t1_open_60d,n_t1_open_excess_60d,avg_t1_open_excess_60d,median_t1_open_excess_60d,win_t1_open_excess_60d,avg_signal_day_ret_1d,pct_signal_day_gt9,pct_next_gap_gt3,pct_next_gap_lt_minus3,pct_low_liquidity_lt100m
regime_close_gt_ma60,False,c1_c2,69,69,-0.04030417501321133,-0.0392156862745098,0.4057971014492754,69,-0.03087998254930528,-0.0495768548938432,0.42028985507246375,68,-0.04336869275873486,-0.03495044340114755,0.35294117647058826,68,-0.035994394168755404,-0.04290055694313133,0.4264705882352941,68,-0.04870184648657582,-0.0482978905848052,0.36764705882352944,68,-0.04206870541041072,-0.04660656694221277,0.4264705882352941,69,-0.005349756070068733,-0.0063291139240506,0.4782608695652174,69,-0.021314946404102378,-0.0350303149283057,0.42028985507246375,68,-0.005844802558464367,-0.026492841777316152,0.4411764705882353,68,-0.018160973970266062,-0.07324056121005518,0.36764705882352944,68,-0.011364236523220828,-0.0327144391591222,0.4117647058823529,68,-0.024535934055596138,-0.07251461057673689,0.35294117647058826,0.040747502947610925,0.18840579710144928,0.08695652173913043,0.014492753623188406,0.2898550724637681
regime_close_gt_ma60,False,c1_c2_c3_xq,40,40,-0.06074561570869398,-0.08525002290327266,0.375,40,-0.0605774480443837,-0.0855344757698511,0.325,40,-0.06067376369322312,-0.053824733148146245,0.35,40,-0.059553205361284035,-0.07244084916424107,0.325,40,-0.07030404963084447,-0.062191291742725203,0.35,40,-0.07103017760280543,-0.09200257146662363,0.325,40,-0.012075572097462305,-0.06995406554230085,0.425,40,-0.029418628617279435,-0.10328929961808946,0.375,40,-0.013440273260243257,-0.07499184052622325,0.4,40,-0.023778229190980254,-0.10506924022153663,0.375,40,-0.02316347312917006,-0.07744158628081454,0.375,40,-0.03556885615054277,-0.10172225988084979,0.325,0.04885405522551154,0.275,0.125,0.0,0.225
regime_close_gt_ma60,False,magic26_v0,15,15,-0.07708115141410823,-0.0999999999999999,0.26666666666666666,15,-0.06276553173658957,-0.12634174631322612,0.2,15,-0.08216647467495422,-0.0669371196754563,0.2,15,-0.06301278287877628,-0.058009169607037586,0.26666666666666666,15,-0.08429536263778142,-0.0857449088960342,0.26666666666666666,15,-0.06495120738065646,-0.07180727459368019,0.26666666666666666,15,-0.036566375408084086,-0.1196388261851015,0.2,15,-0.02532111896461321,-0.11975759403029138,0.2,15,-0.050922600322027695,-0.096085409252669,0.2,15,-0.03121025241950781,-0.10978191533524456,0.2,15,-0.05005047867036974,-0.1180555555555555,0.2,15,-0.0300552372961767,-0.11645267558908745,0.2,0.04368514579291958,0.2,0.06666666666666667,0.0,0.13333333333333333
regime_close_gt_ma60,False,magic26_v0_quality,14,14,-0.0871061545718571,-0.13369098712446348,0.21428571428571427,14,-0.07029000595542516,-0.12773569319328595,0.14285714285714285,14,-0.09092277948163875,-0.07731882721740725,0.14285714285714285,14,-0.06907540160027636,-0.07244084916424107,0.21428571428571427,14,-0.09281396246655403,-0.08652324809881075,0.21428571428571427,14,-0.07051972995741143,-0.09589045837844438,0.21428571428571427,14,-0.023235502649761198,-0.11507692382216445,0.21428571428571427,14,-0.02094744904603865,-0.12540746608754783,0.21428571428571427,14,-0.03560436778163527,-0.0942138757975057,0.21428571428571427,14,-0.02559799078266947,-0.10496044258571567,0.21428571428571427,14,-0.034394743630341194,-0.10925099206349205,0.21428571428571427,14,-0.023883991703825925,-0.12176469749703529,0.21428571428571427,0.04473886390496873,0.21428571428571427,0.07142857142857142,0.0,0.14285714285714285
regime_close_gt_ma60,True,c1_c2,317,300,0.09259652667284632,0.032727781223020655,0.5666666666666667,300,0.05813463665476668,-0.0009524700747592166,0.49666666666666665,298,0.09052350030290633,0.030891877875735198,0.5570469798657718,298,0.05637580085106917,-0.0037137696017031773,0.4865771812080537,298,0.08793603729284145,0.032768361581920855,0.587248322147651,298,0.05361925611269031,0.000680112525914163,0.5033557046979866,254,0.20091452711883173,0.09976303317535536,0.6062992125984252,254,0.11346756593697964,0.007641993140324728,0.515748031496063,254,0.19539050470871355,0.06982995748937225,0.6141732283464567,254,0.10433024275077252,-0.017111808042355695,0.4763779527559055,254,0.19143740582936747,0.08561934851290981,0.6181102362204725,254,0.10140311049637511,-0.007297217001202151,0.48031496062992124,0.044000140710548856,0.23659305993690852,0.1640378548895899,0.056782334384858045,0.3312302839116719
regime_close_gt_ma60,True,c1_c2_c3_xq,169,155,0.11751193923926659,0.0590163934426228,0.5806451612903226,155,0.07945942728716816,0.005470289206151481,0.5161290322580645,154,0.11597634311105647,0.07810338551146706,0.564935064935065,154,0.07898108499983882,0.02143553148779903,0.5194805194805194,154,0.1117392937557961,0.06198564593301435,0.5844155844155844,154,0.07510148612015023,0.017289488149800594,0.5194805194805194,120,0.26194328647567583,0.14665554937928488,0.6333333333333333,120,0.15771855450575603,0.02741285634021788,0.5333333333333333,120,0.2530123108352019,0.09156463215448225,0.6416666666666667,120,0.14284755416297312,-0.00337986767524081,0.49166666666666664,120,0.24341533315871983,0.12681566237145545,0.6333333333333333,120,0.13568187129511905,-0.0013244516148988254,0.5,0.05481149124664646,0.3431952662721893,0.23076923076923078,0.0650887573964497,0.27218934911242604
regime_close_gt_ma60,True,magic26_v0,74,72,0.1577501227315557,0.11409572865835291,0.6527777777777778,72,0.11895610978729404,0.07154345227298778,0.6388888888888888,72,0.15148176043349507,0.1025328330206379,0.6666666666666666,72,0.11608283733947294,0.06021866418433702,0.6111111111111112,72,0.14663755564561215,0.10082216334164565,0.6527777777777778,72,0.11089508039748566,0.06053623943860682,0.6111111111111112,53,0.22997178790256873,0.1616766467065868,0.6226415094339622,53,0.1365608937272684,0.10184143453932526,0.5660377358490566,53,0.22735080324974247,0.1654929577464787,0.6981132075471698,53,0.13132797879991426,0.02270319740033705,0.5283018867924528,53,0.21721891908824212,0.1628664495114007,0.6415094339622641,53,0.12271781013888558,0.03151455844722778,0.5283018867924528,0.04661237611480572,0.2702702702702703,0.16216216216216217,0.04054054054054054,0.17567567567567569
regime_close_gt_ma60,True,magic26_v0_quality,62,60,0.14671880377667626,0.09301386083443615,0.6333333333333333,60,0.10439808467378227,0.05800506337545508,0.6166666666666667,60,0.14312040627506115,0.0977567567567567,0.65,60,0.10489054855737658,0.05267308331923267,0.5833333333333334,60,0.13387685139904856,0.08812463256907696,0.6333333333333333,60,0.09552463064985295,0.04043504850458018,0.5666666666666667,43,0.23516718859282462,0.1504539559014268,0.6046511627906976,43,0.12171002325204143,0.029782994400672377,0.5348837209302325,43,0.22859945927804812,0.1585585585585585,0.6744186046511628,43,0.11132811079486278,-0.0031367898015730866,0.4883720930232558,43,0.21477186317483216,0.1482142857142856,0.627906976744186,43,0.09993469714127945,-0.006242049456020207,0.4883720930232558,0.04769276822535027,0.2903225806451613,0.1935483870967742,0.04838709677419355,0.06451612903225806
regime_ma20_gt_ma60,False,c1_c2,81,81,0.012683839254613678,0.015075376884422,0.5555555555555556,81,0.010533791671583172,-0.007197429193448256,0.49382716049382713,80,0.005506514817166239,-0.00210970464135015,0.4875,80,0.001686273561517361,0.0064915284763622,0.525,80,0.005642110358724037,0.0032166657436636,0.5125,80,0.0021909941982547684,0.007810569481299483,0.525,81,0.05903171539537458,0.0100502512562812,0.5308641975308642,81,0.04280073164460472,-0.01626339166662062,0.48148148148148145,80,0.056234912943710955,-0.00865419875320865,0.4875,80,0.04214375042892337,-0.01933012314462657,0.4125,80,0.056147791499354026,-0.00663904529977625,0.4875,80,0.042452837038482585,-0.017635610264659127,0.425,0.0415118732640474,0.19753086419753085,0.08641975308641975,0.012345679012345678,0.2962962962962963
regime_ma20_gt_ma60,False,c1_c2_c3_xq,41,41,-0.005097030286894604,0.0024242424242424,0.5121951219512195,41,-0.007443274754842994,-0.024064202437807547,0.3902439024390244,41,-0.010627761421558472,-0.0132530120481927,0.43902439024390244,41,-0.011539191755057267,-0.007958229687345754,0.4634146341463415,41,-0.015490559882667019,-0.0063291139240506,0.4634146341463415,41,-0.015865104341962127,-0.01202376579914802,0.4634146341463415,41,0.03208584992700663,-0.0676470588235295,0.43902439024390244,41,0.026356127172360824,-0.08265893646714687,0.43902439024390244,41,0.03210645170020137,-0.0536082474226804,0.36585365853658536,41,0.031131188847372985,-0.08204739654168654,0.3902439024390244,41,0.027160165025946797,-0.0695652173913043,0.4146341463414634,41,0.026717188615746873,-0.08679574980999766,0.3902439024390244,0.05228654147139184,0.2926829268292683,0.14634146341463414,0.0,0.21951219512195122
