price_mode,year,signal,signals,n_20d,avg_20d,median_20d,win_20d,n_60d,avg_60d,median_60d,win_60d,pct_signal_day_gt9,pct_next_gap_gt3
raw,2021,core_c1c2c3_regime,0,0,,,,0,,,,,
raw,2022,core_c1c2c3_regime,0,0,,,,0,,,,,
raw,2023,core_c1c2c3_regime,36,35,0.11406408592781442,0.0622141712614083,0.5714285714285714,35,0.20014801009441055,0.1312840180507503,0.6285714285714286,0.2222222222222222,0.16666666666666666
raw,2024,core_c1c2c3_regime,29,29,0.03836989806097435,-0.0283225458695801,0.3793103448275862,29,0.09966556957189367,-0.0731057918082048,0.3448275862068966,0.27586206896551724,0.2413793103448276
raw,2025,core_c1c2c3_regime,24,24,0.09454279008038735,0.0672231737772804,0.5416666666666666,24,0.11101189752474844,-0.025697657636955147,0.5,0.25,0.16666666666666666
raw,2026,core_c1c2c3_regime,69,54,0.08863155477002574,0.094180823476712,0.5740740740740741,24,0.20138127765689362,0.1021625134030694,0.6666666666666666,0.4927536231884058,0.30434782608695654
raw,2021,core_repo40_regime,0,0,,,,0,,,,,
raw,2022,core_repo40_regime,0,0,,,,0,,,,,
raw,2023,core_repo40_regime,29,28,0.13761103792061882,0.07865126680374805,0.6071428571428571,28,0.18772068612780327,0.10315417991732864,0.6071428571428571,0.27586206896551724,0.20689655172413793
raw,2024,core_repo40_regime,12,12,0.0016362733469071356,-0.07623423497900325,0.25,12,-0.04504513070423161,-0.1222533268679219,0.25,0.16666666666666666,0.08333333333333333
raw,2025,core_repo40_regime,20,20,0.10384633969291975,0.0672231737772804,0.55,20,0.12343734581959524,-0.03164195686285115,0.5,0.3,0.2
raw,2026,core_repo40_regime,54,42,0.10169767352283482,0.101986635249721,0.5952380952380952,18,0.21968014987318188,0.1525049825066565,0.6666666666666666,0.48148148148148145,0.2962962962962963
raw,2021,core_repo50_regime,0,0,,,,0,,,,,
raw,2022,core_repo50_regime,0,0,,,,0,,,,,
raw,2023,core_repo50_regime,22,21,0.16038562189430053,0.0950883623460878,0.6666666666666666,21,0.18127862692864388,0.1452419039592731,0.6190476190476191,0.2727272727272727,0.22727272727272727
raw,2024,core_repo50_regime,9,9,0.009004553819906065,-0.0898993202590267,0.2222222222222222,9,-0.04882845949907126,-0.1255056866275644,0.2222222222222222,0.2222222222222222,0.1111111111111111
raw,2025,core_repo50_regime,16,16,0.09692306041081918,0.0672231737772804,0.5625,16,0.11130794974498555,-0.03164195686285115,0.5,0.3125,0.25
raw,2026,core_repo50_regime,42,34,0.11011925769740394,0.101986635249721,0.6176470588235294,13,0.35589008284647233,0.3810455904446583,0.7692307692307693,0.4523809523809524,0.30952380952380953
raw,2021,core_repo60_regime,0,0,,,,0,,,,,
raw,2022,core_repo60_regime,0,0,,,,0,,,,,
raw,2023,core_repo60_regime,19,18,0.17623774931562028,0.08841232066507711,0.6666666666666666,18,0.17163488989625575,0.1382629610050117,0.6111111111111112,0.3157894736842105,0.2631578947368421
raw,2024,core_repo60_regime,7,7,0.050169260403141305,-0.078263568350498,0.2857142857142857,7,-0.03533562522502245,-0.2108945594510404,0.2857142857142857,0.2857142857142857,0.14285714285714285
raw,2025,core_repo60_regime,12,12,0.10573613396416111,0.0304082345754672,0.5,12,0.05350074069568872,-0.12401491491377435,0.3333333333333333,0.3333333333333333,0.16666666666666666
raw,2026,core_repo60_regime,25,20,0.126522941158633,0.08170451175857224,0.65,8,0.3637159561935745,0.40388237554349693,0.75,0.44,0.2
raw,2021,magic_c425_c5gt3_regime,0,0,,,,0,,,,,
raw,2022,magic_c425_c5gt3_regime,0,0,,,,0,,,,,
raw,2023,magic_c425_c5gt3_regime,11,11,0.23562597732319138,0.1687216839924045,0.7272727272727273,11,0.2958114314081859,0.2041720210847484,0.8181818181818182,0.09090909090909091,0.0
raw,2024,magic_c425_c5gt3_regime,7,7,-0.06193993012357007,-0.0925461711839033,0.2857142857142857,7,-0.0742282692356943,-0.0731057918082048,0.2857142857142857,0.0,0.0
