layer,signal,dataset,period,risk_level,risk_label,n,n20,avg20,median20,win20,right_tail20_rate,n60,avg60,median60,win60,right_tail60_rate,notes
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,train_2023_2025,0,Level 0 正常候選 / 可以研究,5,5,-0.10680161285452913,-0.1180752211592835,0.2,0.0,5,-0.17296792066428657,-0.1190009692475896,0.2,0.0,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,train_2023_2025,1,Level 1 追高警戒 / 可看但不要追,4,4,0.044526695967030024,-0.01883263432719975,0.5,0.25,4,0.08329026007280058,0.0674231383446088,0.5,0.0,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,train_2023_2025,2,Level 2 高追高 / 只觀察,9,9,0.1920930174743164,0.0886193862734387,0.6666666666666666,0.3333333333333333,9,0.2399130525078196,0.3680910404008771,0.5555555555555556,0.1111111111111111,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,train_2023_2025,3,Level 3 暫不追 / 風險 veto,8,8,0.19898254869896947,0.15728935582861336,0.75,0.25,8,0.2569325732722052,0.18333109798994535,0.75,0.25,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,holdout_2026,0,Level 0 正常候選 / 可以研究,5,4,0.35264599827480464,0.3256514191676611,1.0,1.0,1,0.4267191606423355,0.4267191606423355,1.0,0.0,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,holdout_2026,1,Level 1 追高警戒 / 可看但不要追,7,7,0.2050253677975606,0.2008921251905897,0.8571428571428571,0.5714285714285714,2,0.35805197673905453,0.35805197673905453,0.5,0.5,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,holdout_2026,2,Level 2 高追高 / 只觀察,10,8,0.24839103433671833,0.13854420167452935,0.75,0.375,2,0.7842175716504124,0.7842175716504124,1.0,1.0,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,holdout_2026,3,Level 3 暫不追 / 風險 veto,4,4,0.08487358146243296,0.07539812417214055,0.5,0.5,3,-0.04797367235411987,0.018823370871277,0.6666666666666666,0.0,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,all,0,Level 0 正常候選 / 可以研究,10,9,0.09739732542517476,0.0458269612811221,0.5555555555555556,0.4444444444444444,6,-0.07302007377984955,-0.06262150932738865,0.3333333333333333,0.0,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,all,1,Level 1 追高警戒 / 可看但不要追,11,11,0.1466622144046404,0.1044980811094051,0.7272727272727273,0.45454545454545453,6,0.17487749896155189,0.0674231383446088,0.5,0.16666666666666666,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,all,2,Level 2 高追高 / 只觀察,19,17,0.21858620188015257,0.1205827168328924,0.7058823529411765,0.35294117647058826,11,0.3388775105337456,0.3943170220998044,0.6363636363636364,0.2727272727272727,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_a_repo50_c440_c5gt5,dedup_prefer_adjusted,all,3,Level 3 暫不追 / 風險 veto,12,12,0.16094622628679064,0.15728935582861336,0.6666666666666666,0.3333333333333333,11,0.17377632446502564,0.1452419039592731,0.7272727272727273,0.18181818181818182,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_b_magic_c440_c5gt5,dedup_prefer_adjusted,train_2023_2025,0,Level 0 正常候選 / 可以研究,10,10,0.0018696334290670483,-0.011388894200838051,0.5,0.2,10,-0.0187538308605349,-0.01215700489594325,0.4,0.0,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_b_magic_c440_c5gt5,dedup_prefer_adjusted,train_2023_2025,1,Level 1 追高警戒 / 可看但不要追,8,8,-0.006503801125372365,-0.0348019480612446,0.375,0.25,8,0.06398399832168489,0.04975813979351665,0.5,0.0,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_b_magic_c440_c5gt5,dedup_prefer_adjusted,train_2023_2025,2,Level 2 高追高 / 只觀察,11,11,0.14284478017704602,0.0742565754602193,0.5454545454545454,0.2727272727272727,11,0.1640502116553727,-0.0820721005148719,0.45454545454545453,0.09090909090909091,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_b_magic_c440_c5gt5,dedup_prefer_adjusted,train_2023_2025,3,Level 3 暫不追 / 風險 veto,12,12,0.1267295826748577,0.14774341896850018,0.6666666666666666,0.25,12,0.16586732593924805,0.1290150577554856,0.6666666666666666,0.16666666666666666,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_b_magic_c440_c5gt5,dedup_prefer_adjusted,holdout_2026,0,Level 0 正常候選 / 可以研究,5,4,0.35264599827480464,0.3256514191676611,1.0,1.0,1,0.4267191606423355,0.4267191606423355,1.0,0.0,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_b_magic_c440_c5gt5,dedup_prefer_adjusted,holdout_2026,1,Level 1 追高警戒 / 可看但不要追,7,7,0.2050253677975606,0.2008921251905897,0.8571428571428571,0.5714285714285714,2,0.35805197673905453,0.35805197673905453,0.5,0.5,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_b_magic_c440_c5gt5,dedup_prefer_adjusted,holdout_2026,2,Level 2 高追高 / 只觀察,12,10,0.2319729197603618,0.13854420167452935,0.7,0.4,3,0.547956906262742,0.6830244786500761,1.0,0.6666666666666666,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_b_magic_c440_c5gt5,dedup_prefer_adjusted,holdout_2026,3,Level 3 暫不追 / 風險 veto,10,9,0.026069943154487966,-0.088250032659316,0.4444444444444444,0.3333333333333333,4,-0.16119261827673265,-0.1157650898199182,0.5,0.0,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_b_magic_c440_c5gt5,dedup_prefer_adjusted,all,0,Level 0 正常候選 / 可以研究,15,14,0.10209145195642065,0.0833047199864212,0.6428571428571429,0.42857142857142855,11,0.02174371382154423,-0.0062420494071877,0.45454545454545453,0.0,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_b_magic_c440_c5gt5,dedup_prefer_adjusted,all,1,Level 1 追高警戒 / 可看但不要追,15,15,0.092209811038663,0.0639338341271076,0.6,0.4,10,0.12279759400515881,0.04975813979351665,0.5,0.1,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_b_magic_c440_c5gt5,dedup_prefer_adjusted,all,2,Level 2 高追高 / 只觀察,23,21,0.1852867514071964,0.0886193862734387,0.6190476190476191,0.3333333333333333,14,0.2463159319283804,0.2217633079441391,0.5714285714285714,0.21428571428571427,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_b_magic_c440_c5gt5,dedup_prefer_adjusted,all,3,Level 3 暫不追 / 風險 veto,22,21,0.0835897371661278,0.1458570276648222,0.5714285714285714,0.2857142857142857,16,0.08410233988525288,0.07794597554550035,0.625,0.125,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_c_high_concentration_c425_c5gt5,dedup_prefer_adjusted,train_2023_2025,0,Level 0 正常候選 / 可以研究,10,10,0.0018696334290670483,-0.011388894200838051,0.5,0.2,10,-0.0187538308605349,-0.01215700489594325,0.4,0.0,risk levels from P2-6 draft; dedup_prefer_adjusted only
strict_candidate,candidate_c_high_concentration_c425_c5gt5,dedup_prefer_adjusted,train_2023_2025,1,Level 1 追高警戒 / 可看但不要追,6,6,0.040691583652194115,0.01435689195765775,0.5,0.3333333333333333,6,0.12615083897272764,0.14804158954637636,0.6666666666666666,0.0,risk levels from P2-6 draft; dedup_prefer_adjusted only
